"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","O-H32_Brunei","O-H5_Pakistan","O109H51_Pakistan","O16H48_Indonesia","O1H7_Pakistan","O1K1H7_Korea","O25H4_Denmark","O2K1H5_IMT5155_China","O2K1H5_Korea","O36H5_Pakistan","O76_O8H9_China","O78H4_Australia","O78H4_Korea","O78H51_Korea","O78H9_China","O78H9_HPVN24_VN","O78H9_IMT2125_UK","O78_US","O82H8_Thailand","O8H25_Laos","O9H21_China"
"group_9671","","hypothetical protein","1","1","1","52","2901","1","3763","","233","233","233","","","","","","","","","","","","","","","","","","","","O8H25Laos_00772",""
"group_9672","","hypothetical protein","1","1","1","52","2900","1","3762","","290","290","290","","","","","","","","","","","","","","","","","","","","O8H25Laos_00773",""
"group_9673","","hypothetical protein","1","1","1","52","2899","1","3761","","107","107","107","","","","","","","","","","","","","","","","","","","","O8H25Laos_00774",""
"group_9674","","IS110 family transposase ISEc76","1","1","1","52","2898","1","4488","","488","488","488","","","","","","","","","","","","","","","","","","","","O8H25Laos_00775",""
"group_9675","","hypothetical protein","1","1","1","52","2897","1","4489","","296","296","296","","","","","","","","","","","","","","","","","","","","O8H25Laos_00776",""
"group_9676","","IS110 family transposase ISEc21","1","1","1","52","7456","1","3624","","293","293","293","","","","","","","","","","","","","","","","","","","","O8H25Laos_00780",""
"group_9677","","hypothetical protein","1","1","1","52","5101","1","3784","","281","281","281","","","","","","","","","","","","","","","","","","","","O8H25Laos_00791",""
"group_9678","","hypothetical protein","1","1","1","52","7308","1","3211","","215","215","215","","","","","","","","","","","","","","","","","","","","O8H25Laos_01188",""
"group_9679","","hypothetical protein","1","1","1","52","7307","1","3212","","752","752","752","","","","","","","","","","","","","","","","","","","","O8H25Laos_01189",""
"group_9680","","hypothetical protein","1","1","1","52","7306","1","3213","","158","158","158","","","","","","","","","","","","","","","","","","","","O8H25Laos_01190",""
"group_9681","","hypothetical protein","1","1","1","52","9609","1","192","","356","356","356","","","","","","","","","","","","","","","","","","","","O8H25Laos_01200",""
"group_9682","","hypothetical protein","1","1","1","52","9608","1","191","","335","335","335","","","","","","","","","","","","","","","","","","","","O8H25Laos_01201",""
"group_9683","","hypothetical protein","1","1","1","52","9607","1","190","","608","608","608","","","","","","","","","","","","","","","","","","","","O8H25Laos_01204",""
"group_9684","","hypothetical protein","1","1","1","52","9606","1","3159","","506","506","506","","","","","","","","","","","","","","","","","","","","O8H25Laos_01205",""
"group_9685","ylcG","DLP12 prophage; small protein","1","1","1","52","4287","1","3154","","137","137","137","","","","","","","","","","","","","","","","","","","","O8H25Laos_01210",""
"group_9686","","hypothetical protein","1","1","1","52","4288","1","3153","","689","689","689","","","","","","","","","","","","","","","","","","","","O8H25Laos_01211",""
"group_9687","cysS","cysteinyl-tRNA synthetase","1","1","1","52","8488","780","1","","710","710","710","","","","","","","","","","","","","","","","","","","","O8H25Laos_01445",""
"group_9688","","hypothetical protein","1","1","1","52","3679","1","2399","","155","155","155","","","","","","","","","","","","","","","","","","","","O8H25Laos_01827",""
"group_9689","","hypothetical protein","1","1","1","52","3353","1","2350","","131","131","131","","","","","","","","","","","","","","","","","","","","O8H25Laos_01831",""
"group_9690","","hypothetical protein","1","1","1","52","3354","1","2349","","1082","1082","1082","","","","","","","","","","","","","","","","","","","","O8H25Laos_01832",""
"group_9691","","hypothetical protein","1","1","1","52","3355","1","2348","","689","689","689","","","","","","","","","","","","","","","","","","","","O8H25Laos_01833",""
"group_9692","","hypothetical protein","1","1","1","52","3583","1","2291","","1811","1811","1811","","","","","","","","","","","","","","","","","","","","O8H25Laos_01843",""
"group_9693","","hypothetical protein","1","1","1","52","3584","1","2292","","410","410","410","","","","","","","","","","","","","","","","","","","","O8H25Laos_01844",""
"group_9694","","hypothetical protein","1","1","1","52","10068","1","3581","","953","953","953","","","","","","","","","","","","","","","","","","","","O8H25Laos_01976",""
"group_9695","ycjY_2","putative hydrolase","1","1","1","52","9972","122","1","","272","272","272","","","","","","","","","","","","","","","","","","","","O8H25Laos_02270",""
"group_9696","","hypothetical protein","1","1","1","52","10914","1","2662","","203","203","203","","","","","","","","","","","","","","","","","","","","O8H25Laos_02326",""
"group_9697","","hypothetical protein","1","1","1","52","4975","1","2501","","161","161","161","","","","","","","","","","","","","","","","","","","","O8H25Laos_02514",""
"group_9698","essD_2","DLP12 prophage; predicted phage lysis protein","1","1","1","52","10514","1","2786","","215","215","215","","","","","","","","","","","","","","","","","","","","O8H25Laos_02521",""
"gadW_1","","GadW DNA-binding transcriptional dual regulator","1","1","1","52","10515","1","2785","","713","713","713","","","","","","","","","","","","","","","","","","","","O8H25Laos_02522",""
"group_9700","","hypothetical protein","1","1","1","52","10516","1","2784","","959","959","959","","","","","","","","","","","","","","","","","","","","O8H25Laos_02523",""
"blc_2","","Blc outer membrane lipoprotein (lipocalin)","1","1","1","52","10517","1","2792","","524","524","524","","","","","","","","","","","","","","","","","","","","O8H25Laos_02524",""
"group_9702","ybcQ","DLP12 prophage; predicted antitermination protein","1","1","1","52","10518","1","2793","","377","377","377","","","","","","","","","","","","","","","","","","","","O8H25Laos_02525",""
"group_9703","","hypothetical protein","1","1","1","52","10513","1","2801","","1487","1487","1487","","","","","","","","","","","","","","","","","","","","O8H25Laos_02530",""
"fljB","","Phase 2 flagellin","1","1","1","52","11929","85","1","","1331","1331","1331","","","","","","","","","","","","","","","","","","","","O8H25Laos_02901",""
"group_9705","ugd","UDP-glucose 6-dehydrogenase","1","1","1","52","1511","1","1045","","1166","1166","1166","","","","","","","","","","","","","","","","","","","","O8H25Laos_03043",""
"group_9706","","hypothetical protein","1","1","1","52","1503","1","1035","","1916","1916","1916","","","","","","","","","","","","","","","","","","","","O8H25Laos_03046",""
"group_9707","wcaJ","putative colanic acid biosynthsis UDP-glucose lipid carrier transferase","1","1","1","52","12219","774","1","","1403","1403","1403","","","","","","","","","","","","","","","","","","","","O8H25Laos_03048",""
"group_9708","wcaI","putative colanic biosynthesis glycosyl transferase","1","1","1","52","12218","774","2","","1214","1214","1214","","","","","","","","","","","","","","","","","","","","O8H25Laos_03049",""
"group_9709","gmm","GDP-mannose mannosyl hydrolase","1","1","1","52","12217","774","3","","458","458","458","","","","","","","","","","","","","","","","","","","","O8H25Laos_03050",""
"group_9710","fcl","GDP-fucose synthase","1","1","1","52","12216","774","4","","968","968","968","","","","","","","","","","","","","","","","","","","","O8H25Laos_03051",""
"group_9711","gmd","GDP-mannose 4,6-dehydratase","1","1","1","52","12215","774","5","","1118","1118","1118","","","","","","","","","","","","","","","","","","","","O8H25Laos_03052",""
"group_9712","","hypothetical protein","1","1","1","52","12214","774","6","","926","926","926","","","","","","","","","","","","","","","","","","","","O8H25Laos_03053",""
"group_9713","wcaF","putative acyl transferase","1","1","1","52","12213","774","7","","551","551","551","","","","","","","","","","","","","","","","","","","","O8H25Laos_03054",""
"group_9714","dapH","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase","1","1","1","52","12162","774","8","","545","545","545","","","","","","","","","","","","","","","","","","","","O8H25Laos_03055",""
"mshA_4","","D-inositol-3-phosphate glycosyltransferase","1","1","1","52","12163","774","9","","1130","1130","1130","","","","","","","","","","","","","","","","","","","","O8H25Laos_03056",""
"group_9716","","hypothetical protein","1","1","1","52","12164","774","10","","1322","1322","1322","","","","","","","","","","","","","","","","","","","","O8H25Laos_03057",""
"group_9717","","hypothetical protein","1","1","1","52","12165","774","11","","1211","1211","1211","","","","","","","","","","","","","","","","","","","","O8H25Laos_03058",""
"group_9718","etk_2","autophosphorylating protein tyrosine kinase","1","1","1","52","12166","774","12","","2150","2150","2150","","","","","","","","","","","","","","","","","","","","O8H25Laos_03059",""
"group_9719","wzb","tyrosine phosphatase","1","1","1","52","12167","774","13","","434","434","434","","","","","","","","","","","","","","","","","","","","O8H25Laos_03060",""
"group_9720","gfcE_2","putative exopolysaccharide export protein","1","1","1","52","12168","774","14","","1133","1133","1133","","","","","","","","","","","","","","","","","","","","O8H25Laos_03061",""
"group_9721","","hypothetical protein","1","1","1","52","12169","774","15","","1433","1433","1433","","","","","","","","","","","","","","","","","","","","O8H25Laos_03062",""
"group_9722","","hypothetical protein","1","1","1","52","12170","774","16","","629","629","629","","","","","","","","","","","","","","","","","","","","O8H25Laos_03064",""
"group_9723","galF","putative uridylyltransferase subunit with GalU","1","1","1","52","12171","774","17","","896","896","896","","","","","","","","","","","","","","","","","","","","O8H25Laos_03065",""
"group_9724","","hypothetical protein","1","1","1","52","12158","779","1","","146","146","146","","","","","","","","","","","","","","","","","","","","O8H25Laos_03080",""
"group_9725","","hypothetical protein","1","1","1","52","5273","1","5057","","365","365","365","","","","","","","","","","","","","","","","","","","","O8H25Laos_04725",""
"cmlA","","Chloramphenicol acetyltransferase 2","1","1","1","52","10826","1","4536","","641","641","641","","","","","","","","","","","","","","","","","","","","O8H25Laos_04744",""
"group_9727","","hypothetical protein","1","1","1","52","6145","1","1233","","308","308","308","","","","","","","","","","","","","","","","","","","","O8H25Laos_04758",""
"group_9728","","hypothetical protein","1","1","1","52","666","1","1854","","557","557","557","","","","","","","","","","","","","","","","","","","","O8H25Laos_04768",""
"group_9729","","hypothetical protein","1","1","1","52","6106","1","706","","347","347","347","","","","","","","","","","","","","","","","","","","","O8H25Laos_04771",""
"group_9730","","hypothetical protein","1","1","1","52","6165","1","695","","926","926","926","","","","","","","","","","","","","","","","","","","","O8H25Laos_04776",""
"group_9731","","hypothetical protein","1","1","1","52","6166","1","5530","","254","254","254","","","","","","","","","","","","","","","","","","","","O8H25Laos_04777",""
"group_9732","","hypothetical protein","1","1","1","52","6167","1","5531","","344","344","344","","","","","","","","","","","","","","","","","","","","O8H25Laos_04778",""
"group_9733","","hypothetical protein","1","1","1","52","6459","1","5547","","113","113","113","","","","","","","","","","","","","","","","","","","","O8H25Laos_04790",""
"group_9734","","hypothetical protein","1","1","1","52","6458","1","5546","","2072","2072","2072","","","","","","","","","","","","","","","","","","","","O8H25Laos_04791",""
"group_9735","","hypothetical protein","1","1","1","52","6457","1","5545","","1391","1391","1391","","","","","","","","","","","","","","","","","","","","O8H25Laos_04792",""
"group_9736","pinR_2","Rac prophage; predicted site-specific recombinase","1","1","1","52","6456","1","5544","","473","473","473","","","","","","","","","","","","","","","","","","","","O8H25Laos_04793",""
"group_9737","","hypothetical protein","1","1","1","52","6453","1","6810","","107","107","107","","","","","","","","","","","","","","","","","","","","O8H25Laos_04796",""
"group_9738","pinE_3","e14 prophage; site-specific DNA recombinase","1","1","1","52","5814","1","5455","","560","560","560","","","","","","","","","","","","","","","","","","","","O8H25Laos_04801",""
"group_9739","","hypothetical protein","1","1","1","52","11747","1","4816","","230","230","230","","","","","","","","","","","","","","","","","","","","O8H25Laos_04806",""
"group_9740","","hypothetical protein","1","1","1","52","5389","1","5003","","434","434","434","","","","","","","","","","","","","","","","","","","","O8H25Laos_04818",""
"group_9741","","hypothetical protein","1","1","1","52","5388","1","4951","","770","770","770","","","","","","","","","","","","","","","","","","","","O8H25Laos_04819",""
"group_9742","","hypothetical protein","1","1","1","52","634","1","4931","","821","821","821","","","","","","","","","","","","","","","","","","","","O8H25Laos_04833",""
"group_9743","yliF_2","putative diguanylate cyclase","1","1","1","52","11695","1","6857","","1358","1358","1358","","","","","","","","","","","","","","","","","","","","O8H25Laos_04844",""
"group_9744","yliE_2","putative c-di-GMP-specific phosphodiesterase","1","1","1","52","11696","1","6858","","2333","2333","2333","","","","","","","","","","","","","","","","","","","","O8H25Laos_04845",""
"group_9745","","hypothetical protein","1","1","1","52","6505","1","4333","","413","413","413","","","","","","","","","","","","","","","","","","","","O8H25Laos_04848",""
"group_9746","repB_1","RepFIB replication protein A","1","1","1","52","6506","1","4334","","755","755","755","","","","","","","","","","","","","","","","","","","","O8H25Laos_04849",""
"group_9747","","hypothetical protein","1","1","1","52","6507","1","4335","","308","308","308","","","","","","","","","","","","","","","","","","","","O8H25Laos_04850",""
"group_9748","","hypothetical protein","1","1","1","52","643","1","1936","","392","392","392","","","","","","","","","","","","","","","","","","","","O8H25Laos_04857",""
"group_9749","","IS256 family transposase ISEic2","1","1","1","52","10459","1","1869","","215","215","215","","","","","","","","","","","","","","","","","","","","O8H25Laos_04874",""
"group_975","","hypothetical protein","1","1","1","52","5482","1","4123","","566","566","566","","","","","","","","","","","","O78H4Australia_02858","","","","","","","","",""
"group_9750","","IS256 family transposase IS1414","1","1","1","52","10458","1","1868","","662","662","662","","","","","","","","","","","","","","","","","","","","O8H25Laos_04875",""
"purR_2","","HTH-type transcriptional repressor PurR","1","1","1","52","10457","1","1867","","2174","2174","2174","","","","","","","","","","","","","","","","","","","","O8H25Laos_04876",""
"phnP_2","","5-phospho-alpha-D-ribosyl 1,2-cyclic phosphate phosphodiesterase","1","1","1","52","10456","1","1866","","824","824","824","","","","","","","","","","","","","","","","","","","","O8H25Laos_04877",""
"yegT_2","","YegT MFS transporter","1","1","1","52","10455","1","1692","","1235","1235","1235","","","","","","","","","","","","","","","","","","","","O8H25Laos_04878",""
"sapB_2","","Protein SapB","1","1","1","52","10454","1","1693","","713","713","713","","","","","","","","","","","","","","","","","","","","O8H25Laos_04879",""
"group_9755","","hypothetical protein","1","1","1","52","10453","1","1694","","410","410","410","","","","","","","","","","","","","","","","","","","","O8H25Laos_04880",""
"smf-1","","Major fimbrial subunit SMF-1","1","1","1","52","721","1","4357","","560","560","560","","","","","","","","","","","","","","","","","","","","O8H25Laos_04898",""
"fimC_4","","periplasmic chaperone, required for type 1 fimbriae","1","1","1","52","720","1","4356","","704","704","704","","","","","","","","","","","","","","","","","","","","O8H25Laos_04899",""
"group_9758","htrE_2","putative outer membrane usher protein","1","1","1","52","719","1","4355","","2561","2561","2561","","","","","","","","","","","","","","","","","","","","O8H25Laos_04900",""
"group_9759","","hypothetical protein","1","1","1","52","718","1","4354","","1331","1331","1331","","","","","","","","","","","","","","","","","","","","O8H25Laos_04901",""
"group_9760","","hypothetical protein","1","1","1","52","717","1","4353","","581","581","581","","","","","","","","","","","","","","","","","","","","O8H25Laos_04902",""
"group_9761","","hypothetical protein","1","1","1","52","716","1","4352","","1421","1421","1421","","","","","","","","","","","","","","","","","","","","O8H25Laos_04903",""
"group_9762","","hypothetical protein","1","1","1","52","715","1","4351","","917","917","917","","","","","","","","","","","","","","","","","","","","O8H25Laos_04904",""
"group_9763","","hypothetical protein","1","1","1","52","714","1","4350","","293","293","293","","","","","","","","","","","","","","","","","","","","O8H25Laos_04905",""
"group_9764","","hypothetical protein","1","1","1","52","6238","1","3650","","347","347","347","","","","","","","","","","","","","","","","","","","","O8H25Laos_04911",""
"group_9765","umuD_3","SOS mutagenesis; error-prone repair; processed to UmuD'; forms complex with UmuC","1","1","1","52","6304","1","4376","","389","389","389","","","","","","","","","","","","","","","","","","","","O8H25Laos_04913",""
"group_9766","","hypothetical protein","1","1","1","52","6113","1","700","","311","311","311","","","","","","","","","","","","","","","","","","","","O8H25Laos_04934",""
"group_9767","","hypothetical protein","1","1","1","52","6111","1","645","","197","197","197","","","","","","","","","","","","","","","","","","","","O8H25Laos_04937",""
"group_9768","","hypothetical protein","1","1","1","52","6110","1","644","","194","194","194","","","","","","","","","","","","","","","","","","","","O8H25Laos_04938",""
"group_9769","","hypothetical protein","1","1","1","52","6109","1","643","","236","236","236","","","","","","","","","","","","","","","","","","","","O8H25Laos_04939",""
"cdhR","","HTH-type transcriptional regulator CdhR","1","1","1","52","6108","1","642","","989","989","989","","","","","","","","","","","","","","","","","","","","O8H25Laos_04940",""
"group_9771","","hypothetical protein","1","1","1","52","6107","1","641","","776","776","776","","","","","","","","","","","","","","","","","","","","O8H25Laos_04941",""
"hin","","DNA-invertase hin","1","1","1","52","1543","1","6986","","614","614","614","","","","","","","","","","","","","","","","","","","","O8H25Laos_04953",""
"ykgN_3","","putative IS protein","1","1","1","52","1542","1","6987","","275","275","275","","","","","","","","","","","","","","","","","","","","O8H25Laos_04954",""
"group_9774","","hypothetical protein","1","1","1","52","547","1","1620","","353","353","353","","","","","","","","","","","","","","","","","","","","O8H25Laos_04970",""
"group_9775","","hypothetical protein","1","1","1","52","11736","1","6787","","1481","1481","1481","","","","","","","","","","","","","","","","","","","","O8H25Laos_04990",""
"group_9776","","hypothetical protein","1","1","1","52","11728","1","6788","","347","347","347","","","","","","","","","","","","","","","","","","","","O8H25Laos_04991",""
"group_9777","","hypothetical protein","1","1","1","52","6310","1","6799","","461","461","461","","","","","","","","","","","","","","","","","","","","O8H25Laos_04993",""
"group_9778","","Tn3 family transposase IS3000","1","1","1","52","6311","1","6798","","836","836","836","","","","","","","","","","","","","","","","","","","","O8H25Laos_04994",""
"group_9779","xerC_7","Tyrosine recombinase XerC","1","1","1","52","6314","1","6795","","1028","1028","1028","","","","","","","","","","","","","","","","","","","","O8H25Laos_04997",""
"yegR_2","","putative protein","1","1","1","52","6323","1","1711","","320","320","320","","","","","","","","","","","","","","","","","","","","O8H25Laos_05000",""
"group_9781","","IS630 family transposase ISSpu2","1","1","1","52","6322","1","1710","","551","551","551","","","","","","","","","","","","","","","","","","","","O8H25Laos_05001",""
"umuD_4","","SOS mutagenesis; error-prone repair; processed to UmuD'; forms complex with UmuC","1","1","1","52","6318","1","1706","","245","245","245","","","","","","","","","","","","","","","","","","","","O8H25Laos_05005",""
"group_9783","umuC_3","SOS mutagenesis and repair","1","1","1","52","6317","1","1705","","1271","1271","1271","","","","","","","","","","","","","","","","","","","","O8H25Laos_05006",""
"ydcM_4","","putative transposase","1","1","1","52","5322","1","1704","","1148","1148","1148","","","","","","","","","","","","","","","","","","","","O8H25Laos_05007",""
"group_9785","sopB","Protein SopB","1","1","1","52","5323","1","4972","","971","971","971","","","","","","","","","","","","","","","","","","","","O8H25Laos_05008",""
"group_9786","repB_3","RepFIB replication protein A","1","1","1","52","5092","1","4971","","1010","1010","1010","","","","","","","","","","","","","","","","","","","","O8H25Laos_05010",""
"group_9787","","hypothetical protein","1","1","1","52","5094","1","4969","","110","110","110","","","","","","","","","","","","","","","","","","","","O8H25Laos_05012",""
"yadE_2","","putative polysaccharide deacetylase lipoprotein","1","1","1","52","5090","1","6301","","821","821","821","","","","","","","","","","","","","","","","","","","","O8H25Laos_05015",""
"mshA_5","","D-inositol-3-phosphate glycosyltransferase","1","1","1","52","5089","1","6300","","1109","1109","1109","","","","","","","","","","","","","","","","","","","","O8H25Laos_05016",""
"lpxM_2","","myristoyl-acyl carrier protein (ACP)-dependent acyltransferase","1","1","1","52","5088","1","6299","","938","938","938","","","","","","","","","","","","","","","","","","","","O8H25Laos_05017",""
"insB-1_7","","IS1 protein InsB","1","1","1","52","5086","1","6297","","395","395","395","","","","","","","","","","","","","","","","","","","","O8H25Laos_05019",""
"insB-1_8","","IS1 protein InsB","1","1","1","52","5077","1","6288","","395","395","395","","","","","","","","","","","","","","","","","","","","O8H25Laos_05028",""
"group_9793","insA-1_14","IS1 protein InsA","1","1","1","52","5085","1","6296","","272","272","272","","","","","","","","","","","","","","","","","","","","O8H25Laos_05020",""
"group_9794","insA-1_15","IS1 protein InsA","1","1","1","52","5078","1","6289","","272","272","272","","","","","","","","","","","","","","","","","","","","O8H25Laos_05027",""
"group_9795","","hypothetical protein","1","1","1","52","5084","1","6295","","152","152","152","","","","","","","","","","","","","","","","","","","","O8H25Laos_05021",""
"group_9796","","hypothetical protein","1","1","1","52","5079","1","6290","","152","152","152","","","","","","","","","","","","","","","","","","","","O8H25Laos_05026",""
"group_9797","insH-6_1","CP4-44 prophage; IS5 transposase and trans-activator","1","1","1","52","5083","1","6294","","980","980","980","","","","","","","","","","","","","","","","","","","","O8H25Laos_05022",""
"group_9798","insH-6_2","CP4-44 prophage; IS5 transposase and trans-activator","1","1","1","52","5080","1","6291","","980","980","980","","","","","","","","","","","","","","","","","","","","O8H25Laos_05025",""
"group_9799","","hypothetical protein","1","1","1","52","5082","1","6293","","473","473","473","","","","","","","","","","","","","","","","","","","","O8H25Laos_05023",""
"group_98","insC-1_3","IS2 element protein InsA","1","1","1","52","5627","1","1221","","338","338","338","","","","","","","","","","","","","","","","","","","","","O9H21China_05145"
"group_9800","","Endoglucanase","1","1","1","52","5081","1","6292","","1001","1001","1001","","","","","","","","","","","","","","","","","","","","O8H25Laos_05024",""
"group_9801","","hypothetical protein","1","1","1","52","6873","1","4197","","842","842","842","","","","","","","","","","","","","","","","","","","","","O9H21China_00786"
"group_9802","","hypothetical protein","1","1","1","52","6874","1","4086","","488","488","488","","","","","","","","","","","","","","","","","","","","","O9H21China_00788"
"group_9803","yagM","CP4-6 prophage; predicted protein","1","1","1","52","5071","1","1645","","791","791","791","","","","","","","","","","","","","","","","","","","","","O9H21China_00805"
"group_9804","","hypothetical protein","1","1","1","52","7453","1","6614","","173","173","173","","","","","","","","","","","","","","","","","","","","","O9H21China_00816"
"group_9805","","hypothetical protein","1","1","1","52","2477","123","1","","773","773","773","","","","","","","","","","","","","","","","","","","","","O9H21China_01184"
"group_9806","","hypothetical protein","1","1","1","52","2411","1","4045","","614","614","614","","","","","","","","","","","","","","","","","","","","","O9H21China_01249"
"group_9807","","hypothetical protein","1","1","1","52","4923","767","6","","854","854","854","","","","","","","","","","","","","","","","","","","","","O9H21China_01677"
"group_9808","alpA","AlpA DNA-binding transcriptional activator; CP4-57 prophage","1","1","1","52","4922","767","7","","206","206","206","","","","","","","","","","","","","","","","","","","","","O9H21China_01678"
"group_9809","xerC_2","Tyrosine recombinase XerC","1","1","1","52","4921","767","8","","1205","1205","1205","","","","","","","","","","","","","","","","","","","","","O9H21China_01679"
"group_9810","","hypothetical protein","1","1","1","52","4920","767","9","","1325","1325","1325","","","","","","","","","","","","","","","","","","","","","O9H21China_01680"
"group_9811","","hypothetical protein","1","1","1","52","4919","767","10","","1631","1631","1631","","","","","","","","","","","","","","","","","","","","","O9H21China_01681"
"group_9812","","hypothetical protein","1","1","1","52","4918","767","11","","398","398","398","","","","","","","","","","","","","","","","","","","","","O9H21China_01682"
"group_9813","","hypothetical protein","1","1","1","52","4917","767","12","","413","413","413","","","","","","","","","","","","","","","","","","","","","O9H21China_01683"
"group_9814","","hypothetical protein","1","1","1","52","4916","767","13","","665","665","665","","","","","","","","","","","","","","","","","","","","","O9H21China_01684"
"group_9815","","hypothetical protein","1","1","1","52","3713","767","14","","1310","1310","1310","","","","","","","","","","","","","","","","","","","","","O9H21China_01685"
"group_9816","","hypothetical protein","1","1","1","52","3714","767","15","","365","365","365","","","","","","","","","","","","","","","","","","","","","O9H21China_01686"
"group_9817","","hypothetical protein","1","1","1","52","3715","767","16","","1616","1616","1616","","","","","","","","","","","","","","","","","","","","","O9H21China_01687"
"group_9818","","hypothetical protein","1","1","1","52","3716","767","17","","221","221","221","","","","","","","","","","","","","","","","","","","","","O9H21China_01688"
"group_9819","","hypothetical protein","1","1","1","52","3717","767","18","","758","758","758","","","","","","","","","","","","","","","","","","","","","O9H21China_01689"
"group_9820","","hypothetical protein","1","1","1","52","3718","767","5","","2048","2048","2048","","","","","","","","","","","","","","","","","","","","","O9H21China_01690"
"group_9821","","hypothetical protein","1","1","1","52","3719","767","4","","164","164","164","","","","","","","","","","","","","","","","","","","","","O9H21China_01691"
"group_9822","","hypothetical protein","1","1","1","52","3720","767","3","","1043","1043","1043","","","","","","","","","","","","","","","","","","","","","O9H21China_01692"
"group_9823","","hypothetical protein","1","1","1","52","3721","767","2","","1259","1259","1259","","","","","","","","","","","","","","","","","","","","","O9H21China_01693"
"group_9824","intA","CP4-57 prophage; integrase","1","1","1","52","3722","767","1","","1235","1235","1235","","","","","","","","","","","","","","","","","","","","","O9H21China_01694"
"group_9825","","hypothetical protein","1","1","1","52","12173","1","892","","263","263","263","","","","","","","","","","","","","","","","","","","","","O9H21China_01850"
"wbbD","","UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase","1","1","1","52","12354","1","830","","806","806","806","","","","","","","","","","","","","","","","","","","","","O9H21China_01855"
"group_9827","rfbC","dTDP-4-dehydrorhamnose 3,5-epimerase","1","1","1","52","12353","1","829","","557","557","557","","","","","","","","","","","","","","","","","","","","","O9H21China_01856"
"group_9828","fdtA","TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase","1","1","1","52","12352","1","828","","401","401","401","","","","","","","","","","","","","","","","","","","","","O9H21China_01857"
"arnB_2","","UDP-L-Ara4O C-4"" transaminase","1","1","1","52","12351","1","827","","1103","1103","1103","","","","","","","","","","","","","","","","","","","","","O9H21China_01858"
"group_9830","wzxE_1","lipid III flippase","1","1","1","52","12350","1","826","","1250","1250","1250","","","","","","","","","","","","","","","","","","","","","O9H21China_01859"
"group_9831","","hypothetical protein","1","1","1","52","12349","1","825","","914","914","914","","","","","","","","","","","","","","","","","","","","","O9H21China_01860"
"group_9832","","hypothetical protein","1","1","1","52","12348","1","824","","1304","1304","1304","","","","","","","","","","","","","","","","","","","","","O9H21China_01861"
"group_9833","","hypothetical protein","1","1","1","52","12207","1","823","","857","857","857","","","","","","","","","","","","","","","","","","","","","O9H21China_01862"
"group_9834","","hypothetical protein","1","1","1","52","12208","1","822","","548","548","548","","","","","","","","","","","","","","","","","","","","","O9H21China_01863"
"group_9835","","hypothetical protein","1","1","1","52","1504","1","1030","","785","785","785","","","","","","","","","","","","","","","","","","","","","O9H21China_01870"
"group_9836","btuD_1","Vitamin B12 import ATP-binding protein BtuD","1","1","1","52","12296","1","1029","","1295","1295","1295","","","","","","","","","","","","","","","","","","","","","O9H21China_01871"
"wbdD","","O-antigen chain terminator bifunctional methyltransferase/kinase WbdD","1","1","1","52","12297","1","1028","","2126","2126","2126","","","","","","","","","","","","","","","","","","","","","O9H21China_01872"
"mshA_1","","D-inositol-3-phosphate glycosyltransferase","1","1","1","52","12298","1","1027","","2522","2522","2522","","","","","","","","","","","","","","","","","","","","","O9H21China_01873"
"aspA_1","","aspartate ammonia-lyase","1","1","1","52","9672","1","1589","","1400","1400","1400","","","","","","","","","","","","","","","","","","","","","O9H21China_01926"
"group_984","ymfL_2","e14 prophage; predicted DNA-binding transcriptional regulator","1","1","1","52","8503","1","2049","","524","524","524","","","","","","","","","","","","","","","","","","","O82H8Thailand_04817","",""
"aspA_2","","aspartate ammonia-lyase","1","1","1","52","11861","1","1273","","1400","1400","1400","","","","","","","","","","","","","","","","","","","","","O9H21China_01956"
"dcuA_1","","dicarboxylate transporter DcuA","1","1","1","52","6275","1","1588","","1298","1298","1298","","","","","","","","","","","","","","","","","","","","","O9H21China_01927"
"group_9842","","Aspartate racemase","1","1","1","52","6276","1","1587","","719","719","719","","","","","","","","","","","","","","","","","","","","","O9H21China_01928"
"yjiE_1","","YjiE transcriptional dual regulator","1","1","1","52","6277","1","1586","","899","899","899","","","","","","","","","","","","","","","","","","","","","O9H21China_01929"
"dgoT_2","","galactonate transporter","1","1","1","52","6278","1","1585","","551","551","551","","","","","","","","","","","","","","","","","","","","","O9H21China_01931"
"dgoD_2","","D-galactonate dehydratase","1","1","1","52","6279","1","1584","","1148","1148","1148","","","","","","","","","","","","","","","","","","","","","O9H21China_01932"
"dgoR_2","","putative DNA-binding transcriptional regulator","1","1","1","52","6282","1","1303","","689","689","689","","","","","","","","","","","","","","","","","","","","","O9H21China_01935"
"group_9847","","hypothetical protein","1","1","1","52","6283","1","1304","","332","332","332","","","","","","","","","","","","","","","","","","","","","O9H21China_01936"
"group_9848","","hypothetical protein","1","1","1","52","6262","1","1287","","134","134","134","","","","","","","","","","","","","","","","","","","","","O9H21China_01940"
