"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","O78H9_China","O78H9_HPVN24_VN","O78H9_IMT2125_UK","O78_US"
"yaaJ","","inner membrane protein YaaJ","4","4","1","1","4305","","","","1430","1430","1430","O78H9China_01407","O78H9HPVN24_00043","O78H9IMT2125UK_00007","O78US_00732"
"rbbA","","ribosome-associated ATPase","4","4","1","1","1706","","","","2735","2735","2735","O78H9China_02523","O78H9HPVN24_03714","O78H9IMT2125UK_03789","O78US_04450"
"kptA","","enzyme with tRNA 2'-phosphotransferase activity","4","4","1","1","4458","","","","554","554","554","O78H9China_04316","O78H9HPVN24_04698","O78H9IMT2125UK_04762","O78US_00587"
"copA","","Cu+ efflux ATPase","4","4","1","1","4980","","","","2504","2504","2504","O78H9China_02852","O78H9HPVN24_00536","O78H9IMT2125UK_00507","O78US_01244"
"xdhD","","fused predicted xanthine/hypoxanthine oxidase: molybdopterin-binding subunit and Fe-S binding subunit","4","4","1","1","2334","","","","2870","2870","2870","O78H9China_03313","O78H9HPVN24_03057","O78H9IMT2125UK_03149","O78US_03810"
"dnaE","","DNA polymerase III, alpha subunit","4","4","1","1","4010","","","","3482","3482","3482","O78H9China_01217","O78H9HPVN24_00231","O78H9IMT2125UK_00200","O78US_00921"
"yoaE","","putative inner membrane protein","4","4","1","1","2993","","","","1550","1556","1554","O78H9China_01494","O78H9HPVN24_01886","O78H9IMT2125UK_01920","O78US_02691"
"ecpR","","MatA DNA-binding transcriptional dual regulator","4","4","1","1","4796","","","","542","542","542","O78H9China_03621","O78H9HPVN24_00352","O78H9IMT2125UK_00320","O78US_01059"
"ribD","","fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase","4","4","1","1","4907","","","","1103","1103","1103","O78H9China_02777","O78H9HPVN24_00460","O78H9IMT2125UK_00431","O78US_01170"
"fkpA","","peptidyl-prolyl cis-trans isomerase; in protein folding","4","4","1","1","1843","","","","812","812","812","O78H9China_02386","O78H9HPVN24_03577","O78H9IMT2125UK_03650","O78US_04313"
"gatZ","","tagatose-1,6-bisphosphate aldolase 2","4","4","1","1","3540","","","","1262","1262","1262","O78H9China_00322","O78H9HPVN24_02207","O78H9IMT2125UK_02213","O78US_02979"
"nagB","","glucosamine-6-phosphate deaminase","4","4","1","1","331","","","","800","800","800","O78H9China_03446","O78H9HPVN24_00716","O78H9IMT2125UK_00690","O78US_01452"
"rhsD_2","","RhsD protein in rhs element","4","4","1","1","3870","","","","2717","2717","2717","O78H9China_03561","O78H9HPVN24_00602","O78H9IMT2125UK_00571","O78US_01336"
"yhhX","","putative oxidoreductase with NAD(P)-binding Rossmann-fold domain protein","4","4","1","1","1748","","","","1037","1037","1037","O78H9China_02480","O78H9HPVN24_03671","O78H9IMT2125UK_03746","O78US_04407"
"ynjE","","molybdopterin synthase sulfurtransferase","4","4","1","1","2943","","","","1307","1307","1307","O78H9China_01545","O78H9HPVN24_01835","O78H9IMT2125UK_01869","O78US_02640"
"tamB","","translocation and assembly module - TamB subunit","4","4","1","1","1344","","","","3779","3779","3779","O78H9China_00889","O78H9HPVN24_04563","O78H9IMT2125UK_04626","O78US_00451"
"ycjZ","","putative transcriptional regulator LysR-type","4","4","1","1","3225","","","","899","899","899","O78H9China_02071","O78H9HPVN24_01426","O78H9IMT2125UK_01448","O78US_02205"
"rbsK_2","","ribokinase","4","4","1","1","2153","","","","914","914","914","O78H9China_03193","O78H9HPVN24_03256","O78H9IMT2125UK_03321","O78US_03983"
"group_5519","","hypothetical protein","4","4","1","1","4492","","","","473","473","473","O78H9China_01458","O78H9HPVN24_04731","O78H9IMT2125UK_04796","O78US_00621"
"nfrB","","bacteriophage N4 receptor, inner membrane subunit","4","4","1","1","3873","","","","2237","2237","2237","O78H9China_05042","O78H9HPVN24_00599","O78H9IMT2125UK_00568","O78US_01332"
"ddpA","","YddS","4","4","1","1","3343","","","","1550","1550","1550","O78H9China_04648","O78H9HPVN24_01554","O78H9IMT2125UK_01584","O78US_02337"
"ompN","","outer membrane pore protein N, non-specific","4","4","1","1","3244","","","","1133","1133","1133","O78H9China_02051","O78H9HPVN24_01446","O78H9IMT2125UK_01470","O78US_02225"
"cas1","","multifunctional nuclease","4","4","1","1","2486","","","","923","923","923","O78H9China_03893","O78H9HPVN24_02906","O78H9IMT2125UK_02990","O78US_03652"
"yjiM","","hypothetical protein","4","4","1","1","4463","","","","1151","1151","1151","O78H9China_04321","O78H9HPVN24_04703","O78H9IMT2125UK_04767","O78US_00592"
"group_5525","","hypothetical protein","4","4","1","1","1760","","","","1505","1505","1505","O78H9China_02468","O78H9HPVN24_03659","O78H9IMT2125UK_03734","O78US_04395"
"group_5526","","hypothetical protein","4","4","1","1","4153","","","","1127","1127","1127","O78H9China_01176","O78H9HPVN24_04299","O78H9IMT2125UK_04393","O78US_00206"
"group_5527","","hypothetical protein","4","4","1","1","2908","","","","758","758","758","O78H9China_01580","O78H9HPVN24_01800","O78H9IMT2125UK_01834","O78US_02605"
"cysN","","sulfate adenylyltransferase","4","4","1","1","2490","","","","1427","1427","1427","O78H9China_03889","O78H9HPVN24_02902","O78H9IMT2125UK_02986","O78US_03648"
"asmA","","putative assembly protein AsmA","4","4","1","1","3512","","","","1853","1853","1853","O78H9China_00291","O78H9HPVN24_02175","O78H9IMT2125UK_02182","O78US_02948"
"mutY","","adenine glycosylase; G.C --> T.A transversions","4","4","1","1","2252","","","","1052","1052","1052","O78H9China_03400","O78H9HPVN24_03144","O78H9IMT2125UK_03235","O78US_03897"
"essD_2","","DLP12 prophage; predicted phage lysis protein","4","4","1","1","657","","","","215","215","215","O78H9China_05016","O78H9HPVN24_00838","O78H9IMT2125UK_00807","O78US_01570"
"fecD","","ferric dicitrate ABC transporter - membrane subunit","4","4","1","1","4381","","","","956","956","956","O78H9China_00825","O78H9HPVN24_04627","O78H9IMT2125UK_04691","O78US_00515"
"rlmF","","23S rRNA methyltransferase","4","4","1","1","1194","","","","926","926","926","O78H9China_00450","O78H9HPVN24_00882","O78H9IMT2125UK_00853","O78US_01620"
"aspS","","aspartyl-tRNA synthetase","4","4","1","1","3047","","","","1772","1772","1772","O78H9China_00044","O78H9HPVN24_01941","O78H9IMT2125UK_01979","O78US_02746"
"etk","","autophosphorylating protein tyrosine kinase","4","4","1","1","997","","","","2180","2180","2180","O78H9China_00653","O78H9HPVN24_01087","O78H9IMT2125UK_01097","O78US_01864"
"yphE","","YphD/YphE/YphF ABC transporter","4","4","1","1","2670","","","","1511","1511","1511","O78H9China_02222","O78H9HPVN24_02725","O78H9IMT2125UK_02698","O78US_03456"
"dnaK","","chaperone Hsp70; DNA biosynthesis; autoregulated heat shock proteins","4","4","1","1","4299","","","","1916","1916","1916","O78H9China_01401","O78H9HPVN24_00049","O78H9IMT2125UK_00013","O78US_00738"
"group_5539","","hypothetical protein","4","4","1","1","1391","","","","659","659","659","O78H9China_00938","O78H9HPVN24_04514","O78H9IMT2125UK_04576","O78US_00402"
"ddlA","","D-alanine-D-alanine ligase A","4","4","1","1","4876","","","","1094","1094","1094","O78H9China_02746","O78H9HPVN24_00429","O78H9IMT2125UK_00400","O78US_01139"
"allB","","allantoinase monomer","4","4","1","1","5002","","","","1361","1361","1361","O78H9China_02875","O78H9HPVN24_00559","O78H9IMT2125UK_00530","O78US_01267"
"fruK","","1-phosphofructokinase monomer","4","4","1","1","3617","","","","938","938","938","O78H9China_00400","O78H9HPVN24_02286","O78H9IMT2125UK_02293","O78US_03057"
"gpp","","guanosine-5'-triphosphate, 3'-diphosphate pyrophosphatase","4","4","1","1","5178","","","","1484","1484","1484","O78H9China_04062","O78H9HPVN24_04030","O78H9IMT2125UK_04107","O78US_04776"
"rhsD_1","","RhsD protein in rhs element","4","4","1","1","4760","","","","2636","2636","2636","O78H9China_03580","O78H9HPVN24_00264","O78H9IMT2125UK_00234","O78US_00960"
"asnB","","asparagine synthetase B","4","4","1","1","327","","","","1664","1664","1664","O78H9China_03450","O78H9HPVN24_00712","O78H9IMT2125UK_00686","O78US_01448"
"bcsA","","cellulose synthase, catalytic subunit","4","4","1","1","1658","","","","2618","2618","2618","O78H9China_03915","O78H9HPVN24_03765","O78H9IMT2125UK_03840","O78US_04502"
"cas2","","putative endoribonuclease","4","4","1","1","2487","","","","293","293","293","O78H9China_03892","O78H9HPVN24_02905","O78H9IMT2125UK_02989","O78US_03651"
"gatB","","galactitol PTS permease - GatB subunit","4","4","1","1","3538","","","","284","284","284","O78H9China_00320","O78H9HPVN24_02205","O78H9IMT2125UK_02211","O78US_02977"
"mokC","","regulatory peptide whose translation enables hokC (gef) expression","4","4","1","1","4297","","","","209","209","209","O78H9China_01398","O78H9HPVN24_00052","O78H9IMT2125UK_00018","O78US_00741"
"cedA","","cell division modulator","4","4","1","1","2917","","","","263","263","263","O78H9China_01571","O78H9HPVN24_01809","O78H9IMT2125UK_01843","O78US_02614"
"group_5551","","hypothetical protein","4","4","1","1","4243","","","","425","425","425","O78H9China_01091","O78H9HPVN24_04363","O78H9IMT2125UK_00299","O78US_00681"
"insE-1","","IS3 element protein InsE","4","4","1","1","952","","","","299","299","299","O78H9China_00699","O78H9HPVN24_01134","O78H9IMT2125UK_01144","O78US_01910"
"ytfR","","galactofuranose / galactopyranose ABC transporter - putative ATP binding subunit","4","4","1","1","1338","","","","1502","1502","1502","O78H9China_00882","O78H9HPVN24_04570","O78H9IMT2125UK_04633","O78US_00458"
"ymgC","","protein involved in biofilm formation","4","4","1","1","841","","","","248","248","248","O78H9China_00817","O78H9HPVN24_01248","O78H9IMT2125UK_01264","O78US_02028"
"bglX","","beta-D-glucoside glucohydrolase, periplasmic","4","4","1","1","3579","","","","2267","2297","2274","O78H9China_00363","O78H9HPVN24_02248","O78H9IMT2125UK_02255","O78US_03020"
"ybdZ","","MbtH-like protein that enhances the catalytic function of EntF","4","4","1","1","3848","","","","218","218","218","O78H9China_03540","O78H9HPVN24_00623","O78H9IMT2125UK_00595","O78US_01357"
"yafL","","putative lipoprotein and C40 family peptidase","4","4","1","1","4769","","","","749","758","755","O78H9China_03590","O78H9HPVN24_00273","O78H9IMT2125UK_00243","O78US_00970"
"group_5563","","hypothetical protein","4","4","1","1","4238","","","","1832","1835","1833","O78H9China_01096","O78H9HPVN24_04358","O78H9IMT2125UK_00295","O78US_00677"
"group_5565","","hypothetical protein","4","4","1","1","3637","","","","227","227","227","O78H9China_05072","O78H9HPVN24_02306","O78H9IMT2125UK_02313","O78US_03077"
"ydfI","","putative mannonate dehydrogenase","4","4","1","1","3791","","","","1460","1460","1460","O78H9China_04563","O78H9HPVN24_01620","O78H9IMT2125UK_01654","O78US_02407"
"group_5567","","hypothetical protein","4","4","1","1","2823","","","","1508","1508","1508","O78H9China_01767","O78H9HPVN24_04989","O78H9IMT2125UK_02847","O78US_02415"
"group_5568","","hypothetical protein","4","4","1","1","454","","","","206","206","206","O78H9China_01916","O78H9HPVN24_02385","O78H9IMT2125UK_02392","O78US_03155"
"hyi","","hydroxypyruvate isomerase","4","4","1","1","4998","","","","776","776","776","O78H9China_02871","O78H9HPVN24_00555","O78H9IMT2125UK_00526","O78US_01263"
"rbn","","RNase BN","4","4","1","1","483","","","","917","935","926","O78H9China_01887","O78H9HPVN24_02414","O78H9IMT2125UK_02422","O78US_03184"
"group_5571","","hypothetical protein","4","4","1","1","4020","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","152","152","152","O78H9China_01227","O78H9HPVN24_00221","O78H9IMT2125UK_00190","O78US_00911"
"puuD","","gamma-glutamyl-gamma-aminobutyrate hydrolase","4","4","1","1","3193","","","","752","764","761","O78H9China_02102","O78H9HPVN24_01395","O78H9IMT2125UK_01415","O78US_02174"
"ydiH","","putative protein","4","4","1","1","4604","","","","188","188","188","O78H9China_01620","O78H9HPVN24_01758","O78H9IMT2125UK_01793","O78US_02566"
"ybiU","","putative protein","4","4","1","1","1179","","","","1265","1286","1270","O78H9China_00464","O78H9HPVN24_00896","O78H9IMT2125UK_00868","O78US_01634"
"ydfT_1","","Qin prophage; predicted antitermination protein Q","4","4","1","1","4575","","","","752","752","752","O78H9China_01118","O78H9HPVN24_00311","O78H9IMT2125UK_00273","O78US_00655"
"ybcY","","DLP12 prophage; predicted SAM-dependent methyltransferase","4","4","1","1","3880","","","","656","668","659","O78H9China_05035","O78H9HPVN24_00592","O78H9IMT2125UK_00561","O78US_01325"
"macA_1","","MacAB-TolC macrolide efflux transport system - membrane fusion protein","4","4","1","1","1100","","","","1097","1115","1106","O78H9China_00544","O78H9HPVN24_00976","O78H9IMT2125UK_00949","O78US_01714"
"group_5583","","hypothetical protein","4","4","1","1","4235","","","","356","356","356","O78H9China_01098","O78H9HPVN24_04356","O78H9IMT2125UK_00293","O78US_00675"
"lptF","","LptABCFG ABC transporter","4","4","1","1","4359","","","","1079","1100","1094","O78H9China_00848","O78H9HPVN24_04604","O78H9IMT2125UK_04667","O78US_00492"
"group_5586","","hypothetical protein","4","4","1","1","1366","","","","2081","2117","2090","O78H9China_00913","O78H9HPVN24_04539","O78H9IMT2125UK_04602","O78US_00427"
"group_5587","","hypothetical protein","4","4","1","1","4239","","","","1328","1328","1328","O78H9China_01094","O78H9HPVN24_04360","O78H9IMT2125UK_00296","O78US_00678"
"prfC","","peptide chain release factor RF3","4","4","1","1","4340","","","","1586","1616","1595","O78H9China_01445","O78H9HPVN24_00005","O78H9IMT2125UK_04809","O78US_00693"
"group_5590","","hypothetical protein","4","4","1","1","4246","","","","584","584","584","O78H9China_01089","O78H9HPVN24_04365","O78H9IMT2125UK_00301","O78US_00683"
"group_5592","","hypothetical protein","4","4","1","1","4217","","","","485","494","491","O78H9China_01110","O78H9HPVN24_04343","O78H9IMT2125UK_00280","O78US_01018"
"arnB","","UDP-L-Ara4O C-4"" transaminase","4","4","1","1","467","","","","1139","1157","1152","O78H9China_01903","O78H9HPVN24_02398","O78H9IMT2125UK_02405","O78US_03168"
"psuG","","putative pseudouridine 5'-phosphate glycosidase","4","4","1","1","3614","","","","920","938","933","O78H9China_00397","O78H9HPVN24_02283","O78H9IMT2125UK_02290","O78US_03054"
"rusA_1","","endodeoxyribonuclease RUS (Holliday junction resolvase)","4","4","1","1","4730","","","","389","389","389","O78H9China_01121","O78H9HPVN24_00308","O78H9IMT2125UK_00270","O78US_00652"
"yddA","","YddA complex","4","4","1","1","3334","","","","1658","1685","1664","O78H9China_04657","O78H9HPVN24_01562","O78H9IMT2125UK_01595","O78US_02346"
"group_57","","hypothetical protein","4","4","1","1","4573","","","","1061","1091","1083","O78H9China_02918","O78H9HPVN24_00313","O78H9IMT2125UK_01696","O78US_01310"
"group_73","","hypothetical protein","4","4","1","1","3011","","","","887","1283","1184","O78H9China_00007","O78H9HPVN24_01904","O78H9IMT2125UK_01940","O78US_02709"
"yebA","","putative peptidase","4","4","1","1","3037","","","","704","1322","1167","O78H9China_00034","O78H9HPVN24_01931","O78H9IMT2125UK_01968","O78US_02736"
"ruvA","","branch migration of Holliday structures; repair","4","4","1","1","3042","","","","371","611","551","O78H9China_00039","O78H9HPVN24_01936","O78H9IMT2125UK_01974","O78US_02741"
"group_86","","hypothetical protein","4","4","1","1","3483","","","","602","1121","991","O78H9China_00255","O78H9HPVN24_02138","O78H9IMT2125UK_02148","O78US_02912"
"yehM","","putative protein","4","4","1","1","3566","","","","1976","2279","2203","O78H9China_00350","O78H9HPVN24_02235","O78H9IMT2125UK_02242","O78US_03007"
"mglB","","galactose ABC transporter - periplasmic binding protein","4","4","1","1","3598","","","","506","998","875","O78H9China_00381","O78H9HPVN24_02267","O78H9IMT2125UK_02274","O78US_03038"
"ybhG","","putative membrane fusion protein","4","4","1","1","1207","","","","746","995","932","O78H9China_00437","O78H9HPVN24_00869","O78H9IMT2125UK_00839","O78US_01607"
"ybiR","","putative transporter","4","4","1","1","1183","","","","632","1118","996","O78H9China_00461","O78H9HPVN24_00893","O78H9IMT2125UK_00865","O78US_01631"
"group_98","","hypothetical protein","4","4","1","1","1139","","","","335","731","632","O78H9China_00504","O78H9HPVN24_00936","O78H9IMT2125UK_00908","O78US_01674"
"rhsC_1","","hypothetical protein","3","3","1","1","352","209","1","","803","4193","1933","","O78H9HPVN24_00736","O78H9IMT2125UK_00710","O78US_01472"
"group_10","","hypothetical protein","3","3","1","1","5028","1","243","","482","3602","2178","","O78H9HPVN24_00589","O78H9IMT2125UK_00558","O78US_01322"
"group_1006","","hypothetical protein","3","3","1","1","2841","1","129","","815","815","815","O78H9China_05008","O78H9HPVN24_04775","","O78US_01578"
"group_1127","","hypothetical protein","3","3","1","1","4389","28","3","","257","257","257","O78H9China_05210","O78H9HPVN24_04634","","O78US_00524"
"group_1161","","hypothetical protein","3","3","1","1","4521","1","356","","818","818","818","","O78H9HPVN24_00304","O78H9IMT2125UK_02859","O78US_00648"
"alsK","","D-allose kinase","3","3","1","1","1471","27","1","","503","929","787","O78H9China_01041","","O78H9IMT2125UK_04468","O78US_00298"
"group_1196","","hypothetical protein","3","3","1","1","3374","246","1","","173","173","173","","O78H9HPVN24_01524","O78H9IMT2125UK_01552","O78US_02305"
"group_120","","hypothetical protein","3","3","1","1","4207","1","277","","548","548","548","O78H9China_01092","","O78H9IMT2125UK_00298","O78US_01036"
"group_1206","","hypothetical protein","3","3","1","1","3643","200","4","","389","389","389","","O78H9HPVN24_02311","O78H9IMT2125UK_02320","O78US_03084"
"group_1207","","hypothetical protein","3","3","1","1","3644","200","5","","440","440","440","","O78H9HPVN24_02312","O78H9IMT2125UK_02321","O78US_03085"
"group_1208","","hypothetical protein","3","3","1","1","3645","200","6","","410","410","410","","O78H9HPVN24_02313","O78H9IMT2125UK_02322","O78US_03086"
"group_1209","","hypothetical protein","3","3","1","1","3646","200","7","","389","389","389","","O78H9HPVN24_02314","O78H9IMT2125UK_02323","O78US_03087"
"group_1210","","hypothetical protein","3","3","1","1","3647","200","8","","269","269","269","","O78H9HPVN24_02315","O78H9IMT2125UK_02324","O78US_03088"
"group_1211","","hypothetical protein","3","3","1","1","3648","200","9","","614","614","614","","O78H9HPVN24_02316","O78H9IMT2125UK_02325","O78US_03089"
"group_1212","","hypothetical protein","3","3","1","1","3649","200","10","","281","281","281","","O78H9HPVN24_02317","O78H9IMT2125UK_02326","O78US_03090"
"group_1213","","hypothetical protein","3","3","1","1","3652","200","13","","269","269","269","","O78H9HPVN24_02320","O78H9IMT2125UK_02329","O78US_03093"
"intE_2","","e14 prophage; predicted integrase","3","3","1","1","2874","200","20","","1202","1202","1202","","O78H9HPVN24_02326","O78H9IMT2125UK_02334","O78US_03100"
"group_1217","","hypothetical protein","3","3","1","1","2873","200","23","","851","851","851","","O78H9HPVN24_02327","O78H9IMT2125UK_02335","O78US_03101"
"group_1218","","hypothetical protein","3","3","1","1","2872","200","22","","200","200","200","","O78H9HPVN24_02328","O78H9IMT2125UK_02336","O78US_03102"
"group_122","","hypothetical protein","3","3","1","1","4229","1","269","","560","560","560","","O78H9HPVN24_04353","O78H9IMT2125UK_00290","O78US_01028"
"group_125","","hypothetical protein","3","3","1","1","4226","1","266","","410","410","410","","O78H9HPVN24_04351","O78H9IMT2125UK_00288","O78US_01026"
"yfdN","","CPS-53 (KpLE1) prophage; predicted protein","3","3","1","1","4522","1","357","","488","488","488","","O78H9HPVN24_00305","O78H9IMT2125UK_02858","O78US_00649"
"group_1297","","hypothetical protein","3","3","1","1","51","224","1","","104","104","104","","O78H9HPVN24_04177","O78H9IMT2125UK_04268","O78US_00071"
"ymfR","","e14 prophage; predicted protein","3","3","1","1","4219","1","260","","182","182","182","","O78H9HPVN24_04345","O78H9IMT2125UK_00282","O78US_01020"
"group_1306","","hypothetical protein","3","3","1","1","4220","1","261","","1241","1241","1241","","O78H9HPVN24_04346","O78H9IMT2125UK_00283","O78US_01021"
"group_1307","","hypothetical protein","3","3","1","1","4221","1","262","","650","650","650","","O78H9HPVN24_04347","O78H9IMT2125UK_00284","O78US_01022"
"ymfN","","hypothetical protein","3","3","1","1","4713","1","235","","230","941","704","O78H9China_01125","","O78H9IMT2125UK_01712","O78US_01001"
"group_1408","","hypothetical protein","3","3","1","1","4800","59","1","","4250","4256","4252","O78H9China_03625","","O78H9IMT2125UK_00324","O78US_01063"
"sufD","","SufD component of SufBCD Fe-S cluster scaffold complex","3","3","1","1","4609","29","3","","719","1271","1087","O78H9China_01625","O78H9HPVN24_01753","","O78US_02560"
"yhhI","","putative transposase","3","3","1","1","3371","68","1","","389","791","657","O78H9China_04620","","O78H9IMT2125UK_01555","O78US_02308"
"dinI_3","","DNA damage-inducible protein I","3","3","1","1","4204","1","289","","248","248","248","O78H9China_01084","O78H9HPVN24_04370","","O78US_00255"
"ybaK","","Cys-tRNAPro and Cys-tRNACys deacylase","3","3","1","1","4977","24","3","","155","479","371","O78H9China_02848","O78H9HPVN24_00532","O78H9IMT2125UK_00503",""
"group_206","","hypothetical protein","3","3","1","1","2088","5","3","","926","926","926","O78H9China_03265","","O78H9IMT2125UK_03393","O78US_04054"
"ydeP","","acid resistance protein","3","3","1","1","3324","33","1","","224","2279","1594","O78H9China_04615","O78H9HPVN24_01568","","O78US_02355"
"insAB-1","","InsAB' transposase","3","3","1","1","2588","93","1","","245","245","245","O78H9China_04795","","O78H9IMT2125UK_02882","O78US_03544"
"fryA_1","","fused predicted PTS system enzymes: Hpr component, enzyme I component, enzyme IIA component","3","3","1","1","393","94","1","","1004","1634","1424","O78H9China_01785","O78H9HPVN24_02576","","O78US_03286"
"group_270","","hypothetical protein","3","3","1","1","3651","200","12","","494","794","646","","O78H9HPVN24_02319","O78H9IMT2125UK_02328","O78US_03092"
"dsbD","","Thiol:disulfide interchange protein DsbD","3","3","1","1","1322","50","1","","1697","1766","1720","O78H9China_00986","","O78H9IMT2125UK_04527","O78US_00354"
"group_317","","hypothetical protein","3","3","1","1","4218","1","259","","1733","1733","1733","","O78H9HPVN24_04344","O78H9IMT2125UK_00281","O78US_01019"
"group_321","","hypothetical protein","3","3","1","1","4079","1","309","","269","281","273","O78H9China_01139","O78H9HPVN24_04336","","O78US_00241"
"rsxC","","member of SoxR-reducing complex","3","3","1","1","4664","106","1","","2126","2222","2158","O78H9China_01681","","O78H9IMT2125UK_01730","O78US_02504"
"ydfA","","Qin prophage; predicted protein","3","3","1","1","3725","1","49","","155","236","182","O78H9China_01740","O78H9HPVN24_01637","","O78US_02443"
"ygeH_1","","putative transcriptional regulator","3","3","1","1","2385","114","6","","896","896","896","O78H9China_03788","","O78H9IMT2125UK_03099","O78US_03760"
"pinE_1","","e14 prophage; site-specific DNA recombinase","3","3","1","1","4249","1","285","","554","554","554","O78H9China_01085","","O78H9IMT2125UK_00305","O78US_01044"
"pinE_3","","e14 prophage; site-specific DNA recombinase","3","3","1","1","3642","200","3","","128","128","128","","O78H9HPVN24_02310","O78H9IMT2125UK_02319","O78US_03083"
"rzpD_2","","DLP12 prophage; predicted murein endopeptidase","3","3","1","1","3662","8","4","","461","461","461","O78H9China_02911","","O78H9IMT2125UK_01703","O78US_01303"
"rzpD_3","","DLP12 prophage; predicted murein endopeptidase","3","3","1","1","659","98","1","","461","461","461","O78H9China_05014","","O78H9IMT2125UK_00809","O78US_01572"
"yfdR_1","","CPS-53 (KpLE1) prophage; deoxyribonucleoside 5'-monophosphate phosphatase","3","3","1","1","4507","1","349","","365","536","479","O78H9China_01133","","O78H9IMT2125UK_02866","O78US_00638"
"group_444","","hypothetical protein","3","3","1","1","4392","37","2","","347","347","347","O78H9China_04254","O78H9HPVN24_04636","","O78US_00527"
"ydfJ","","putative transporter","3","3","1","1","5031","1","61","","1283","1283","1283","O78H9China_04562","O78H9HPVN24_01621","","O78US_02408"
"group_49","","hypothetical protein","3","3","1","1","4562","8","2","","272","272","272","O78H9China_02913","","O78H9IMT2125UK_01701","O78US_01305"
"ymfT","","e14 prophage; predicted DNA-binding transcriptional regulator","3","3","1","1","4515","1","350","","200","200","200","","O78H9HPVN24_00298","O78H9IMT2125UK_02865","O78US_00642"
"ydfU_1","","Qin prophage; predicted protein","3","3","1","1","4576","1","253","","989","989","989","O78H9China_01119","","O78H9IMT2125UK_00272","O78US_00654"
"ymfL_1","","e14 prophage; predicted DNA-binding transcriptional regulator","3","3","1","1","4518","1","351","","551","551","551","","O78H9HPVN24_00299","O78H9IMT2125UK_02864","O78US_00643"
"yfdS_1","","CPS-53 (KpLE1) prophage; predicted protein","3","3","1","1","3657","200","18","","362","362","362","","O78H9HPVN24_02324","O78H9IMT2125UK_02332","O78US_03098"
"group_5231","","hypothetical protein","3","3","1","1","4230","1","270","","170","170","170","","O78H9HPVN24_04354","O78H9IMT2125UK_00291","O78US_01029"
"group_524","","hypothetical protein","3","3","1","1","2875","200","19","","209","254","224","","O78H9HPVN24_02325","O78H9IMT2125UK_02333","O78US_03099"
"yfdT","","CPS-53 (KpLE1) prophage; predicted protein","3","3","1","1","5027","1","240","","305","305","305","O78H9China_02902","O78H9HPVN24_00586","O78H9IMT2125UK_00557",""
"group_528","","hypothetical protein","3","3","1","1","4222","1","263","","1205","1205","1205","","O78H9HPVN24_04348","O78H9IMT2125UK_00285","O78US_01023"
"group_529","","hypothetical protein","3","3","1","1","4224","1","264","","200","200","200","","O78H9HPVN24_04349","O78H9IMT2125UK_00286","O78US_01024"
"ydcS","","YdcS/YdcT/YdcV/YdcU ABC transporter","3","3","1","1","3303","40","2","","839","1145","1043","O78H9China_01992","O78H9HPVN24_01505","","O78US_02286"
"group_5368","","hypothetical protein","3","3","1","1","3650","200","11","","386","386","386","","O78H9HPVN24_02318","O78H9IMT2125UK_02327","O78US_03091"
"insC-1_4","","IS2 element protein InsA","3","3","1","1","4866","1","401","","365","365","365","O78H9China_04864","","O78H9IMT2125UK_00390","O78US_01129"
"group_5406","","hypothetical protein","3","3","1","1","4560","64","1","","203","203","203","O78H9China_02919","","O78H9IMT2125UK_01695","O78US_01311"
"nohB_1","","DLP12 prophage; DNA packaging protein","3","3","1","1","3674","20","1","","545","545","545","O78H9China_02907","","O78H9IMT2125UK_01707","O78US_01299"
"ldrD_4","","LdrD peptide of the LdrD-RdlD toxin-antitoxin system","3","3","1","1","1648","15","1","","107","107","107","O78H9China_03928","","O78H9IMT2125UK_03847","O78US_04515"
"group_5556","","hypothetical protein","3","3","1","1","4244","73","1","","1058","1058","1058","O78H9China_01090","","O78H9IMT2125UK_00300","O78US_00682"
"group_587","","hypothetical protein","3","3","1","1","1152","67","1","","191","191","191","O78H9China_00491","O78H9HPVN24_00923","","O78US_01661"
"cspD","","DNA replication inhibitor","3","3","1","1","1098","85","1","","224","224","224","O78H9China_00546","O78H9HPVN24_00978","","O78US_01716"
"efeB","","heme-containing peroxidase/deferrochelatase","3","3","1","1","961","101","1","","1271","1271","1271","O78H9China_00689","O78H9HPVN24_01124","","O78US_01900"
"csgD","","CsgD DNA-binding transcriptional dual regulator","3","3","1","1","942","60","1","","650","650","650","O78H9China_00711","","O78H9IMT2125UK_01156","O78US_01922"
"yceF","","putative protein","3","3","1","1","896","74","1","","623","623","623","O78H9China_00760","","O78H9IMT2125UK_01207","O78US_01971"
"yjdO","","putative protein","3","3","1","1","1321","86","1","","173","173","173","O78H9China_00994","O78H9HPVN24_04460","","O78US_00345"
"adiY","","AdiY DNA-binding transcriptional activator","3","3","1","1","1504","82","1","","761","761","761","O78H9China_01007","","O78H9IMT2125UK_04503","O78US_00332"
"group_594","","hypothetical protein","3","3","1","1","4203","1","286","","1097","1097","1097","O78H9China_01083","O78H9HPVN24_04371","","O78US_00256"
